Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,BedroomAbvGr,CentralAir,GrLivArea,SalePrice,Fam,Duplex,fmCon,TwnhsE,Twnhs,GasA,Grav,GasW,Wall,HvPool,IsNewHouse,Age,Bathrooms,OtherRooms
2,4.454347296253507,9.114379980830272,5,7,1958,32.7566787083184,1.7320508075688772,1,7.0431599159883405,11.936578287670814,1,0,0,0,0,1,0,0,0,0,0,52,1,0.2679491924311228
4,4.3694478524670215,9.066354521447801,4,5,2005,33.793490497431605,2,1,7.336936913707618,12.109988931649914,1,0,0,0,0,1,0,0,0,0,0,2,1,0.6457513110645907
5,4.219507705176107,9.036344063928219,5,8,2006,37.49666651850535,1.7320508075688772,1,7.410347097821024,12.229299116237849,1,0,0,0,0,1,0,0,0,0,1,0,1,1.096376317177313
6,4.290459441148391,8.853808274977197,5,7,1959,34.583232931581165,1.4142135623730951,1,6.8308742346461795,11.91608410498999,1,0,0,0,0,1,0,0,0,0,0,50,2,0.8218544151266947
8,3.970291913552122,9.120962560824966,5,5,1980,0,1.7320508075688772,1,7.592366128519796,11.812340031208501,1,0,0,0,0,1,0,0,0,0,0,30,1,0.7174389352143007
9,3.9318256327243257,9.275003885301905,6,5,1960,32.2490309931942,1.7320508075688772,1,7.477604243197589,11.98968358930536,0,0,0,0,1,1,0,0,0,0,0,47,1.5,0.9137005034957135
10,4.406719247264253,8.069968149059841,5,5,2001,38.742741255621034,2.449489742783178,1,6.447305862541213,12.066358101596693,0,0,0,0,1,1,0,0,0,0,0,8,3.5,0.19626156828141283
11,4.875197323201151,7.576097340623111,7,7,1948,16.24807680927192,1.4142135623730951,1,6.255750041753367,11.243449875008512,1,0,0,0,0,1,0,0,0,0,0,59,2,1.5857864376269049
13,4.02535169073515,8.890135107818843,4,6,1918,32.09361307176243,1.7320508075688772,1,7.83241092718792,12.166328497721974,1,0,0,0,0,1,0,0,0,0,0,88,2.5,0.5040171699309126
14,4.51085950651685,9.072571442231286,5,5,2005,32.83291031876401,1.4142135623730951,1,6.947937068614969,11.682353177749913,1,0,0,0,0,1,0,0,0,0,0,4,2,0.8218544151266947
15,3.2188758248682006,8.98882050177807,5,5,1913,31.51190251317746,1.4142135623730951,1,6.963189985870238,11.241747925494577,0,0,0,0,1,0,0,1,0,0,0,94,1,1.4142135623730951
16,4.382026634673881,9.47324295306374,6,6,1953,26.19160170741759,1.7320508075688772,1,7.087573705557973,12.128546544468655,1,0,0,0,0,1,0,0,0,0,0,54,2,0.9137005034957135
17,4.110873864173311,9.285355075781629,5,6,1925,38.44476557348217,1.7320508075688772,1,7.264730177929867,12.012378561572275,1,0,0,0,0,1,0,0,0,0,0,82,2.5,0.9137005034957135
18,4.110873864173311,8.857230494201946,5,5,1923,31.304951684997057,1.4142135623730951,1,6.8679744089702925,11.565023797837767,1,0,0,0,0,1,0,0,0,0,0,85,2,1.4142135623730951
21,4.804021044733257,9.841665338892785,5,5,1994,32.2490309931942,1.7320508075688772,1,7.519149957669823,12.15573020005992,1,0,0,0,0,1,0,0,0,0,0,15,1,0.7174389352143007
22,5.1647859739235145,9.272187775302262,6,5,1971,30.870698080866262,1.4142135623730951,1,7.645397699428633,12.056300205625918,1,0,0,0,0,1,0,0,0,0,0,35,2.5,1.2315377486914956
23,4.653960350157523,9.044403844431551,4,7,1963,30.166206257996713,1.7320508075688772,0,6.447305862541213,11.631536682072147,1,0,0,0,0,1,0,0,0,0,0,43,1.5,1.096376317177313
24,4.189654742026425,7.560601162768557,6,6,1910,42.33202097703345,1.7320508075688772,1,7.335633981927201,11.899224457243315,0,1,0,0,0,1,0,0,0,0,0,99,2,1.096376317177313
25,5.1647859739235145,10.172712841637342,5,5,2006,32.2490309931942,1.7320508075688772,1,6.7580945044277305,11.964447878156713,1,0,0,0,0,1,0,0,0,0,0,3,2,0.9137005034957135
26,4.394449154672439,8.069968149059841,6,5,2006,41.86884283091664,1.7320508075688772,1,7.643961949002529,12.257438026073848,1,0,0,0,0,1,0,0,0,0,1,0,2,0.7174389352143007
27,3.9512437185814275,8.832587702434553,7,6,1949,35.552777669262355,1.7320508075688772,1,7.394493107219038,12.259091433060004,0,0,0,1,0,1,0,0,0,0,0,58,2.5,0.7174389352143007
28,4.875197323201151,8.986071187374463,5,5,1959,25.45584412271571,1.7320508075688772,1,7.4815557019095165,11.710163704475587,1,0,0,0,0,1,0,0,0,0,0,50,2,0.5040171699309126
29,4.2626798770413155,8.402231172946555,7,6,1965,35.888716889852724,2,1,6.744059186311348,11.689688834679249,1,0,0,0,0,1,0,0,0,0,0,42,2,0.2360679774997898
30,3.9512437185814275,8.881975184248867,7,5,1993,29.899832775452108,2.23606797749979,1,7.400620577371135,12.119491566708456,1,0,0,0,0,1,0,0,0,0,0,15,2.5,0.21342176528338808
34,4.1588830833596715,9.224341891611996,8,9,1996,31.68595903550972,1.7320508075688772,0,6.617402977974478,12.144956846400868,1,0,0,0,0,1,0,0,0,0,0,10,2,0.7174389352143007
35,4.418840607796598,9.002824076547672,3,5,2009,30.199337741083,1.7320508075688772,1,6.8966943316227125,11.82205968512459,1,0,0,0,0,1,0,0,0,0,0,-2,1.5,0.7174389352143007
36,3.9318256327243257,9.116139576577355,7,4,1999,35.552777669262355,2,1,6.877296071497429,12.077763087651514,1,0,0,0,0,1,0,0,0,0,0,8,1.5,0.2360679774997898
37,4.02535169073515,8.98882050177807,5,5,1885,30.199337741083,1.7320508075688772,1,7.616775808698373,11.95347463342663,1,0,0,0,0,1,0,0,0,0,0,124,1,0.9137005034957135
38,4.330733340286331,9.515543058145953,4,7,2007,35.12833614050059,2,1,7.853604813097837,12.337473263581167,0,0,0,1,0,1,0,0,0,0,0,-1,2.5,0.8284271247461903
40,4.110873864173311,9.257319373170178,5,6,1988,32.4037034920393,1.7320508075688772,1,6.796823718274855,11.521488340954736,1,0,0,0,0,1,0,0,0,0,0,18,2.5,0.7174389352143007
41,4.189654742026425,8.99528899055931,5,6,1893,37.296112397943034,1.7320508075688772,1,7.232010331664759,11.791873118089766,1,0,0,0,0,1,0,0,0,0,0,115,2,0.9137005034957135
43,4.6443908991413725,7.3758821482150125,6,5,1998,32.7566787083184,1.7320508075688772,1,7.253470382684528,12.091171188214462,1,0,0,0,0,1,0,0,0,0,0,11,1.5,0.2679491924311228
44,4.430816798843313,8.71948076085107,6,5,1916,30.397368307141328,1.4142135623730951,1,7.3310603052186325,11.673197580006919,1,0,0,0,0,1,0,0,0,0,0,91,2,1.0352761804100827
45,4.110873864173311,9.002824076547672,7,5,1996,0,1.7320508075688772,1,7.085901464365611,11.96024856747668,0,0,0,1,0,1,0,0,0,0,0,11,2,1.096376317177313
46,4.394449154672439,9.533293058509884,4,4,1999,30.01666203960727,1.7320508075688772,1,7.5745584842024805,12.129553459002347,1,0,0,0,0,1,0,0,0,0,0,10,1,0.9137005034957135
47,3.091042453358316,9.249657234353133,3,6,2004,33.793490497431605,1.4142135623730951,1,7.1252830915107115,11.972973115587914,1,0,0,0,0,1,0,0,0,0,0,2,2,0.5857864376269049
50,4.3694478524670215,9.310276200588783,8,7,1975,40.69397989875161,1.7320508075688772,1,7.388327859577107,12.410757298408104,1,0,0,0,0,1,0,0,0,0,0,34,2,0.7174389352143007
53,4.31748811353631,9.23024103368252,5,7,1947,28.39013913315678,1.7320508075688772,1,7.242082359256962,11.563563194168493,1,0,0,0,0,1,0,0,0,0,0,59,2,0.5040171699309126
54,4.2626798770413155,8.721113147762688,9,5,2004,37.33630940518894,2.23606797749979,1,6.759255270663693,12.233689588527577,1,0,0,0,0,1,0,0,0,0,0,6,1.5,0.4096833335648009
55,4.2626798770413155,8.402231172946555,9,5,2004,34.785054261852174,1.4142135623730951,1,7.379008127628304,12.392995325299445,1,0,0,0,0,1,0,0,0,0,0,3,1.5,1.7480640977952844
56,4.30406509320417,10.599006917241129,7,6,2000,40.124805295477756,1.7320508075688772,1,6.911747300251674,12.363096792413536,1,0,0,0,0,1,0,0,0,0,0,7,2,0.7174389352143007
57,3.9318256327243257,9.052164937010307,6,5,1929,29.393876913398138,1.4142135623730951,1,7.011213987350367,11.3558287995428,1,0,0,0,0,1,0,0,0,0,0,77,1,1.2315377486914956
58,3.4965075614664802,9.081597496083457,4,5,1954,27.820855486487112,1.4142135623730951,0,7.573017256052546,11.728942933204516,1,0,0,0,0,1,0,0,0,0,0,52,1.5,0.5857864376269049
59,4.61512051684126,9.002824076547672,8,8,2008,26.832815729997478,1.7320508075688772,1,7.1316985104669115,12.106079071866006,1,0,0,0,0,1,0,0,0,0,0,2,1,0.5040171699309126
61,4.0943445622221,9.036106025364846,7,5,1993,37.013511046643494,1.7320508075688772,1,7.524021415206125,12.359831125537594,1,0,0,0,0,1,0,0,0,0,0,14,2,0.5040171699309126
62,4.442651256490317,8.581294116822761,6,5,1936,30.01666203960727,2,1,7.836764783264067,12.078685157347763,1,0,0,0,0,1,0,0,0,0,0,73,1.5,0.4494897427831779
64,4.454347296253507,8.967631665167133,8,5,2007,34.64101615137755,1.4142135623730951,1,7.321188556739478,12.260813181214152,1,0,0,0,0,1,0,0,0,0,0,1,2.5,0.8218544151266947
65,4.189654742026425,8.882946799288174,8,5,1926,37.33630940518894,1.4142135623730951,1,7.3098814858247865,12.284256926582945,1,0,0,0,0,1,0,0,0,0,0,82,1.5,1.4142135623730951
66,4.2626798770413155,9.050288983827956,7,5,1967,25.69046515733026,1.4142135623730951,1,7.790696031174738,12.232339641149943,0,0,0,1,0,1,0,0,0,0,0,41,1.5,1.9024112279823047
67,4.2626798770413155,9.977481232444454,7,5,1934,29.29163703175362,1.4142135623730951,1,7.309212365692763,12.213326837588957,1,0,0,0,0,1,0,0,0,0,0,74,2.5,0.8218544151266947
68,4.330733340286331,9.247925132303454,7,6,1976,32.46536616149585,1.7320508075688772,1,7.7102051944325325,12.186292053628925,1,0,0,0,0,1,0,0,0,0,0,30,2.5,0.9137005034957135
69,4.110873864173311,9.24619002486988,4,4,1974,42.04759208325728,1.7320508075688772,1,7.200424892944957,11.996596062482325,1,0,0,0,0,1,0,0,0,0,0,34,2,0.9137005034957135
70,4.1588830833596715,9.086476384753796,7,7,2002,25.099800796022265,1.7320508075688772,1,7.102499355774649,11.884469163003287,0,0,0,1,0,0,0,1,0,0,0,5,1,0.5040171699309126
72,4.68213122712422,9.105090961257085,5,5,2003,30.643106892089126,1.7320508075688772,1,6.99117688712121,11.836480085242538,1,0,0,0,0,1,0,0,0,0,0,4,2,0.9137005034957135
73,4.709530201312334,9.482350275033667,5,5,1989,40.39801975344831,1.4142135623730951,1,6.8679744089702925,12.200438303870786,1,0,0,0,0,1,0,0,0,0,0,19,1,0.8218544151266947
74,4.0943445622221,9.044403844431551,6,5,1962,30.199337741083,1.4142135623730951,1,7.130098510125578,11.638906053426053,0,0,0,0,1,1,0,0,0,0,0,47,1,1.2315377486914956
76,4.110873864173311,9.57254997141339,5,5,2004,26.70205984563738,1.7320508075688772,1,6.762729506931879,11.88578919367062,1,0,0,0,0,1,0,0,0,0,0,3,2,0.5040171699309126
79,4.394449154672439,8.412054873292933,8,5,1976,32.49615361854384,2,1,7.112327444710911,12.064668415529967,0,1,0,0,0,1,0,0,0,0,0,34,1,0.2360679774997898
80,4.189654742026425,9.428591977209965,8,8,1910,30.789608636681304,1.7320508075688772,1,6.948897222313312,12.152515054480546,1,0,0,0,0,1,0,0,0,0,0,97,2.5,0.5040171699309126
82,4.2626798770413155,9.210440366976517,8,5,2008,41.8568990729127,1.7320508075688772,1,6.705639094860003,12.533303982647443,1,0,0,0,0,1,0,0,0,0,0,1,1,0.7174389352143007
85,4.23410650459726,9.448805939388178,5,5,1962,38.23610858861032,1.7320508075688772,1,7.449498005382849,12.09360198548012,1,0,0,0,0,1,0,0,0,0,0,46,2,0.2679491924311228
86,4.564348191467836,8.501876487304344,5,8,1998,37.94733192202055,1.7320508075688772,1,7.1459844677143876,12.084613585955088,1,0,0,0,0,1,0,0,0,0,0,11,1,0.9137005034957135
87,4.143134726391533,8.955577146281511,7,5,1921,32.2490309931942,1.7320508075688772,1,7.450079569807499,11.884326085395616,1,0,0,0,0,1,0,0,0,0,0,86,4,0.9137005034957135
89,3.784189633918261,9.294773427951013,8,5,2001,45.110974274559844,1.7320508075688772,1,7.6487397889562425,12.569530576551179,1,0,0,0,0,1,0,0,0,0,0,6,2,0.7174389352143007
90,4.672828834461906,9.271059107010888,6,5,1956,32.526911934581186,1.4142135623730951,1,6.744059186311348,11.961101000519854,1,0,0,0,0,1,0,0,0,0,0,51,2.5,0.8218544151266947
94,4.382026634673881,8.980423936374544,3,5,2007,42.68489194082609,1.7320508075688772,1,7.463363045520021,12.112906764470369,1,0,0,0,0,1,0,0,0,0,0,-1,2,0.5040171699309126
95,4.23410650459726,8.612685172875459,7,5,2005,44.45222154178574,1.7320508075688772,1,7.6708948313621175,12.385637319927012,1,0,0,0,0,1,0,0,0,0,0,1,2,0.2679491924311228
96,4.454347296253507,9.25320827220336,3,6,2006,32.83291031876401,1.4142135623730951,1,7.611347717403621,12.169849181325288,1,0,0,0,0,1,0,0,0,0,0,1,1,0.5857864376269049
97,4.0943445622221,9.105090961257085,5,4,1976,26.981475126464083,1.4142135623730951,1,6.8679744089702925,11.4713694811793,1,0,0,0,0,1,0,0,0,0,0,34,2,1.9024112279823047
99,4.709530201312334,8.83331693749932,5,6,1900,27.92848008753788,2.23606797749979,1,6.834108738813838,11.571317137915125,1,0,0,0,0,1,0,0,0,0,0,107,2.5,0.21342176528338808
100,4.394449154672439,9.141847375530883,7,6,1957,26.40075756488817,1.7320508075688772,1,6.593044534142437,11.612020467595304,1,0,0,0,0,1,0,0,0,0,0,52,1,0.9137005034957135
102,3.6109179126442243,9.602652693506046,6,6,1950,36.11094017053558,1.4142135623730951,1,7.187657164114956,11.990874409232324,1,0,0,0,0,1,0,0,0,0,0,59,2,0.5857864376269049
103,4.77912349311153,9.236495329453033,9,5,1925,32.984845004941285,2,1,7.360739903058278,12.117352596427004,0,0,0,1,0,1,0,0,0,0,0,84,1.5,0
105,4.465908118654584,9.562123369834488,8,5,1971,31.144823004794873,1.7320508075688772,1,6.759255270663693,12.34618912067248,1,0,0,0,0,1,0,0,0,0,0,35,2,1.4302268525995023
106,4.394449154672439,8.856376036730422,7,7,1950,31.480152477394387,1.4142135623730951,0,6.759255270663693,11.940042235897197,1,0,0,0,0,1,0,0,0,0,0,58,1,1.4142135623730951
107,4.3694478524670215,9.116139576577355,6,5,1972,39.25557285278104,1,1,7.3310603052186325,12.114887471194185,1,0,0,0,0,1,0,0,0,0,0,34,1,1.2360679774997898
108,4.174387269895637,8.431853144249223,7,5,2005,0,1.7320508075688772,1,7.052721049232323,12.086938496093328,1,0,0,0,0,1,0,0,0,0,0,2,2,0.9137005034957135
109,4.700480365792417,9.292841593487926,8,5,1920,32,1.7320508075688772,0,7.20414929203594,12.060087455574322,1,0,0,0,0,1,0,0,0,0,0,90,2,0.9137005034957135
110,5.1647859739235145,9.358846580275406,5,3,1950,38.98717737923585,1.7320508075688772,1,7.704361167910313,12.18677250181597,1,0,0,0,0,1,0,0,0,0,0,57,2.5,0.7174389352143007
111,3.9318256327243257,8.517393171418904,7,5,1964,19.595917942265423,1.7320508075688772,1,7.4815557019095165,12.04713837634777,1,0,0,0,0,1,0,0,0,0,0,42,1,1.2679491924311228
113,4.2626798770413155,8.922791623969637,7,5,1957,22.02271554554524,1.7320508075688772,1,7.372118028337787,11.993422583475656,1,0,0,0,0,1,0,0,0,0,0,52,1,0.7174389352143007
114,4.454347296253507,8.326274787396764,7,5,1963,33.77869150810907,1.7320508075688772,1,8.370315995555478,12.67681386794264,1,0,0,0,0,1,0,0,0,0,0,43,3,0.9137005034957135
115,4.2626798770413155,9.210840247017833,6,6,1997,0,1.7320508075688772,1,7.327123292259293,12.013421320257125,1,0,0,0,0,1,0,0,0,0,0,11,1.5,0.7174389352143007
116,3.9318256327243257,9.400216653174247,6,7,1993,19.595917942265423,1.7320508075688772,1,7.214504414151143,12.008147410292132,1,0,0,0,0,1,0,0,0,0,0,13,2.5,1.2679491924311228
117,4.330733340286331,8.71948076085107,7,6,2006,30.166206257996713,1.4142135623730951,1,7.454141078146678,12.147258298057178,1,0,0,0,0,1,0,0,0,0,1,0,1,1.4142135623730951
118,4.174387269895637,8.94715577112479,8,5,2002,32.155870381627054,2,1,7.496097345175956,12.289317698694104,1,0,0,0,0,1,0,0,0,0,0,7,1,0.4494897427831779
119,4.31748811353631,9.425532393502772,4,5,1978,35.52463933666322,1.7320508075688772,0,7.517520850603031,12.108364291221022,1,0,0,0,0,1,0,0,0,0,0,28,1,0.7174389352143007
